,img_id,label,sublabel,size,height,width,path,split
0,8391,nevus,nev,"(450, 600, 3)",450,600,../data/binary/val/nevus/nev08391.jpg,val
1,8972,nevus,nev,"(450, 600, 3)",450,600,../data/binary/val/nevus/nev08972.jpg,val
2,8399,nevus,nev,"(450, 600, 3)",450,600,../data/binary/val/nevus/nev08399.jpg,val
3,8149,nevus,nev,"(768, 1024, 3)",768,1024,../data/binary/val/nevus/nev08149.jpg,val
4,8604,nevus,nev,"(450, 600, 3)",450,600,../data/binary/val/nevus/nev08604.jpg,val
5,8841,nevus,nev,"(680, 1024, 3)",680,1024,../data/binary/val/nevus/nev08841.jpg,val
6,7970,nevus,nev,"(685, 1024, 3)",685,1024,../data/binary/val/nevus/nev07970.jpg,val
7,7899,nevus,nev,"(690, 1024, 3)",690,1024,../data/binary/val/nevus/nev07899.jpg,val
8,8211,nevus,nev,"(674, 962, 3)",674,962,../data/binary/val/nevus/nev08211.jpg,val
9,8938,nevus,nev,"(1024, 1024, 3)",1024,1024,../data/binary/val/nevus/nev08938.jpg,val
10,8675,nevus,nev,"(450, 600, 3)",450,600,../data/binary/val/nevus/nev08675.jpg,val
11,9624,nevus,nev,"(450, 600, 3)",450,600,../data/binary/val/nevus/nev09624.jpg,val
12,9191,nevus,nev,"(1024, 1024, 3)",1024,1024,../data/binary/val/nevus/nev09191.jpg,val
13,7897,nevus,nev,"(450, 600, 3)",450,600,../data/binary/val/nevus/nev07897.jpg,val
14,8648,nevus,nev,"(682, 1024, 3)",682,1024,../data/binary/val/nevus/nev08648.jpg,val
15,8292,nevus,nev,"(450, 600, 3)",450,600,../data/binary/val/nevus/nev08292.jpg,val
16,8634,nevus,nev,"(1024, 1024, 3)",1024,1024,../data/binary/val/nevus/nev08634.jpg,val
17,8876,nevus,nev,"(1024, 1024, 3)",1024,1024,../data/binary/val/nevus/nev08876.jpg,val
18,8424,nevus,nev,"(686, 1024, 3)",686,1024,../data/binary/val/nevus/nev08424.jpg,val
19,7964,nevus,nev,"(768, 1024, 3)",768,1024,../data/binary/val/nevus/nev07964.jpg,val
20,9631,nevus,nev,"(450, 600, 3)",450,600,../data/binary/val/nevus/nev09631.jpg,val
21,7938,nevus,nev,"(1024, 1024, 3)",1024,1024,../data/binary/val/nevus/nev07938.jpg,val
22,9555,nevus,nev,"(450, 600, 3)",450,600,../data/binary/val/nevus/nev09555.jpg,val
23,8325,nevus,nev,"(1024, 1024, 3)",1024,1024,../data/binary/val/nevus/nev08325.jpg,val
24,9507,nevus,nev,"(450, 600, 3)",450,600,../data/binary/val/nevus/nev09507.jpg,val
25,9495,nevus,nev,"(450, 600, 3)",450,600,../data/binary/val/nevus/nev09495.jpg,val
26,8237,nevus,nev,"(1024, 1024, 3)",1024,1024,../data/binary/val/nevus/nev08237.jpg,val
27,8583,nevus,nev,"(768, 1024, 3)",768,1024,../data/binary/val/nevus/nev08583.jpg,val
28,9021,nevus,nev,"(450, 600, 3)",450,600,../data/binary/val/nevus/nev09021.jpg,val
29,9650,nevus,nev,"(679, 1024, 3)",679,1024,../data/binary/val/nevus/nev09650.jpg,val
30,8807,nevus,nev,"(680, 1024, 3)",680,1024,../data/binary/val/nevus/nev08807.jpg,val
31,9424,nevus,nev,"(680, 1024, 3)",680,1024,../data/binary/val/nevus/nev09424.jpg,val
32,9228,nevus,nev,"(1024, 1024, 3)",1024,1024,../data/binary/val/nevus/nev09228.jpg,val
33,8271,nevus,nev,"(450, 600, 3)",450,600,../data/binary/val/nevus/nev08271.jpg,val
34,8819,nevus,nev,"(450, 600, 3)",450,600,../data/binary/val/nevus/nev08819.jpg,val
35,8843,nevus,nev,"(1024, 1024, 3)",1024,1024,../data/binary/val/nevus/nev08843.jpg,val
36,8868,nevus,nev,"(450, 600, 3)",450,600,../data/binary/val/nevus/nev08868.jpg,val
37,8591,nevus,nev,"(450, 600, 3)",450,600,../data/binary/val/nevus/nev08591.jpg,val
38,8918,nevus,nev,"(1024, 1024, 3)",1024,1024,../data/binary/val/nevus/nev08918.jpg,val
39,8637,nevus,nev,"(450, 600, 3)",450,600,../data/binary/val/nevus/nev08637.jpg,val
40,9454,nevus,nev,"(450, 600, 3)",450,600,../data/binary/val/nevus/nev09454.jpg,val
41,9433,nevus,nev,"(1024, 1024, 3)",1024,1024,../data/binary/val/nevus/nev09433.jpg,val
42,8631,nevus,nev,"(1024, 1024, 3)",1024,1024,../data/binary/val/nevus/nev08631.jpg,val
43,9244,nevus,nev,"(1024, 1024, 3)",1024,1024,../data/binary/val/nevus/nev09244.jpg,val
44,9076,nevus,nev,"(1024, 1024, 3)",1024,1024,../data/binary/val/nevus/nev09076.jpg,val
45,9645,nevus,nev,"(1024, 1024, 3)",1024,1024,../data/binary/val/nevus/nev09645.jpg,val
46,9224,nevus,nev,"(768, 1024, 3)",768,1024,../data/binary/val/nevus/nev09224.jpg,val
47,8340,nevus,nev,"(1024, 1024, 3)",1024,1024,../data/binary/val/nevus/nev08340.jpg,val
48,8265,nevus,nev,"(768, 1024, 3)",768,1024,../data/binary/val/nevus/nev08265.jpg,val
49,9045,nevus,nev,"(450, 600, 3)",450,600,../data/binary/val/nevus/nev09045.jpg,val
50,8186,nevus,nev,"(450, 600, 3)",450,600,../data/binary/val/nevus/nev08186.jpg,val
51,8590,nevus,nev,"(1024, 1024, 3)",1024,1024,../data/binary/val/nevus/nev08590.jpg,val
52,7997,nevus,nev,"(450, 600, 3)",450,600,../data/binary/val/nevus/nev07997.jpg,val
53,9533,nevus,nev,"(450, 600, 3)",450,600,../data/binary/val/nevus/nev09533.jpg,val
54,8723,nevus,nev,"(717, 1019, 3)",717,1019,../data/binary/val/nevus/nev08723.jpg,val
55,8175,nevus,nev,"(450, 600, 3)",450,600,../data/binary/val/nevus/nev08175.jpg,val
56,8901,nevus,nev,"(768, 1024, 3)",768,1024,../data/binary/val/nevus/nev08901.jpg,val
57,9016,nevus,nev,"(450, 600, 3)",450,600,../data/binary/val/nevus/nev09016.jpg,val
58,9620,nevus,nev,"(450, 600, 3)",450,600,../data/binary/val/nevus/nev09620.jpg,val
59,8579,nevus,nev,"(1024, 1024, 3)",1024,1024,../data/binary/val/nevus/nev08579.jpg,val
60,8860,nevus,nev,"(1024, 1024, 3)",1024,1024,../data/binary/val/nevus/nev08860.jpg,val
61,8859,nevus,nev,"(1024, 1024, 3)",1024,1024,../data/binary/val/nevus/nev08859.jpg,val
62,8804,nevus,nev,"(450, 600, 3)",450,600,../data/binary/val/nevus/nev08804.jpg,val
63,9100,nevus,nev,"(1024, 1024, 3)",1024,1024,../data/binary/val/nevus/nev09100.jpg,val
64,8395,nevus,nev,"(1024, 1024, 3)",1024,1024,../data/binary/val/nevus/nev08395.jpg,val
65,8568,nevus,nev,"(768, 1024, 3)",768,1024,../data/binary/val/nevus/nev08568.jpg,val
66,8763,nevus,nev,"(450, 600, 3)",450,600,../data/binary/val/nevus/nev08763.jpg,val
67,8863,nevus,nev,"(450, 600, 3)",450,600,../data/binary/val/nevus/nev08863.jpg,val
68,8145,nevus,nev,"(450, 600, 3)",450,600,../data/binary/val/nevus/nev08145.jpg,val
